compuesto,fase,carga_atomica
CA 47,gas,0.0412
CA 47,agua,0.0271
CA 47,decalina,0.0341
CA 60,gas,0.0414
CA 60,agua,0.0305
CA 60,decalina,0.0357
CA 46,gas,0.0416
CA 46,agua,0.0272
CA 46,decalina,0.0341
CA 61,gas,0.0418
CA 61,agua,0.0313
CA 61,decalina,0.0361
CA 26,gas,0.0427
CA 26,agua,0.0267
CA 26,decalina,0.0348
CA 27,gas,0.0428
CA 27,agua,0.0256
CA 27,decalina,0.0345
CA 68,gas,0.0431
CA 68,agua,0.0316
CA 68,decalina,0.0369
CA 87,gas,0.0448
CA 87,agua,0.0323
CA 87,decalina,0.0381
CA 88,gas,0.0455
CA 88,agua,0.0354
CA 88,decalina,0.0398
CA 18,gas,0.0473
CA 18,agua,0.0288
CA 18,decalina,0.0384
CA 62,gas,0.0489
CA 62,agua,0.0383
CA 62,decalina,0.0431
CA 86,gas,0.0496
CA 86,agua,0.0363
CA 86,decalina,0.0429
CA 29,gas,0.0504
CA 29,agua,0.0338
CA 29,decalina,0.0427
CA 103,gas,0.051
CA 103,agua,0.0333
CA 103,decalina,0.0425
CA 23,gas,0.0514
CA 23,agua,0.0332
CA 23,decalina,0.0427
CA 24,gas,0.0514
CA 24,agua,0.0333
CA 24,decalina,0.0427
CA 25,gas,0.0534
CA 25,agua,0.0393
CA 25,decalina,0.0464
CA 30,gas,0.0541
CA 30,agua,0.0362
CA 30,decalina,0.0454
CA 21,gas,0.0543
CA 21,agua,0.0374
CA 21,decalina,0.0461
CA 22,gas,0.0544
CA 22,agua,0.0363
CA 22,decalina,0.0458
CA 19,gas,0.0552
CA 19,agua,0.0381
CA 19,decalina,0.047
CA 43,gas,0.0574
CA 43,agua,0.0453
CA 43,decalina,0.0519
CA 17,gas,0.0601
CA 17,agua,0.0417
CA 17,decalina,0.0514
CA 7,gas,0.0642
CA 7,agua,-0.0882
CA 7,decalina,-0.0632
CA 20,gas,0.0642
CA 20,agua,0.0481
CA 20,decalina,0.0572
CA 16,gas,0.0743
CA 16,agua,0.0562
CA 16,decalina,0.066
